Species	AphisID	ImageLink	Group
Limaria hians	140235	https://www.meerwasser-lexikon.de/imgHaupt/64642_5fa01f4c2722e.jpg	Bivalvia
Hemimycale columella	133543	https://www.biowin.at/pics/hemimycale01.jpg	Demospongiae
Ensis minor	140734	https://upload.wikimedia.org/wikipedia/commons/1/13/Ensis_minor-H.jpg	Bivalvia
Bubaris vermiculata	132521	http://www.habitas.org.uk/marinelife/porifera/phaver.jpg	Demospongiae
Clathrina clathrus	132275	https://upload.wikimedia.org/wikipedia/commons/5/54/Clathrina_clathrus.jpg	Calcarea
Noemiamea dolioliformis	140973	http://www.idscaro.net/sci/04_med/pictures/fam3/noemiamea_dolioliformis1.jpg	Gastropoda
Sycon raphanus	132257	https://www.researchgate.net/profile/Alper-Evcen/publication/340133363/figure/fig4/AS:872721810464770@1585084502346/Sycon-raphanus-a-General-view-scale-2-mm-b-longitudinal-median-section-of-an.jpg	Calcarea
Cerastoderma edule	138998	https://upload.wikimedia.org/wikipedia/commons/8/8f/Cerastoderma_edule-Nl.jpg	Bivalvia
Pitar rudis	141926	https://www.meerwasser-lexikon.de/imgHaupt/29485_KrTH6KE8ZN.jpg	Bivalvia
Euspira fusca	140529	https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Euspira_fusca_01.JPG/1280px-Euspira_fusca_01.JPG	Gastropoda
Ruditapes decussatus	231749	https://www.meerwasser-lexikon.de/imgHaupt/27547_4eBfZ7kwzG.jpg	Bivalvia
Setia ambigua	141380	https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Setia_ambigua_01.jpg/1024px-Setia_ambigua_01.jpg	Gastropoda
Ircinia oros	132356	https://www.meerwasser-lexikon.de/imgHaupt/26186_DazzRkdqPN.jpg	Demospongiae
Gouldia minima	141916	https://images.marinespecies.org/thumbs/66955_gouldia-minima.jpg?w=700	Bivalvia
Palliolum tigerinum	140710	https://images.marinespecies.org/thumbs/63298_palliolum-tigerinum.jpg?w=700	Bivalvia
Gracilipurpura rostrata	1319814	https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Gracilipurpura_rostrata_%28MNHN-IM-2000-6640%29.jpeg/1280px-Gracilipurpura_rostrata_%28MNHN-IM-2000-6640%29.jpeg	Gastropoda
Moerella pulchella	1055920	https://images.marinespecies.org/thumbs/68853_moerella-pulchella.jpg?w=700	Bivalvia
Mangelia costulata	154073	https://images.marinespecies.org/thumbs/67368_mangelia-costulata.jpg?w=700	Gastropoda
Polititapes aureus	246150	https://www.beachexplorer.org/uploads/species/BEQ3E_SM_Goldene_Teppichmuschel.jpg	Bivalvia
Tectonatica sagraiana	367899	https://images.marinespecies.org/thumbs/73379_tectonatica-sagraiana-dorbigny-1842-specimen-from-benalmadena-spain-actual-size-10-3-mm.jpg?w=700	Gastropoda
Metaxia rugulosa	419911	https://storage.googleapis.com/conchology-general-images/documents/Gastropods/Images/Metaxia_rugulosa.jpg	Gastropoda
Turritella turbona	141874	http://www.idscaro.net/sci/04_med/pictures/fam3/turritella_turbona1.jpg	Gastropoda
Gibbula fanulum	141787	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Gibbula_fanulum_01.JPG/1280px-Gibbula_fanulum_01.JPG	Gastropoda
Paraleucilla magna	362608	https://images.marinespecies.org/thumbs/64258_paraleucila-magna-in-vivo.jpg?w=700	Calcarea
Pholas dactylus	140770	https://images.marinespecies.org/thumbs/68357_pholas-dactylus.jpg?w=700	Bivalvia
Agelas oroides	132454	https://www.meerwasser-lexikon.de/imgHaupt/26177_xUB7bnfh44.jpg	Demospongiae
Spongia officinalis	132407	https://www.meerwasser-lexikon.de/imgHaupt/26196_kF3TMKqtWF.jpg	Demospongiae
Ensis ensis	140733	https://upload.wikimedia.org/wikipedia/commons/d/d5/Ensis_ensis-V.jpg	Bivalvia
Antalis inaequicostata	196376	http://www.idscaro.net/sci/04_med/pictures/fam6/antalis_inaequicostata1.jpg	Scaphopoda
Calliostoma zizyphinum	141767	https://www.meerwasser-lexikon.de/imgHaupt/28099_JY3CZRdZFd.jpg	Gastropoda
Lamellaria perspicua	140173	https://www.meerwasser-lexikon.de/imgHaupt/71065_61d74bd9da959.jpg	Gastropoda
Diplodonta rotundata	141883	https://www.beachexplorer.org/uploads/species/BEQ3E_SM_Rundliche_Mondmuschel.jpg	Bivalvia
Gregariella petagnae	140452	https://images.marinespecies.org/thumbs/70001_gregariella-petagnae-scacchi-1832-specimen-from-la-goulette-tunisia-among-algae-0-1-m-22-06-2008-actual-size-6-2-mm.jpg?w=700	Bivalvia
Chondrosia reniformis	134112	https://www.meerwasser-lexikon.de/imgHaupt/51461_58b3f8cd06f72.jpg	Demospongiae
Antalis dentalis	196375	https://www.meerwasser-lexikon.de/imgHaupt/29053_Z2sfF9szZq.jpg	Scaphopoda
Limatula gwyni	140237	https://images.marinespecies.org/thumbs/67255_limatula-gwyni.jpg?w=700	Bivalvia
Calliostoma granulatum	141753	https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Calliostoma_granulatum_01.JPG/1280px-Calliostoma_granulatum_01.JPG	Gastropoda
Acanthochitona fascicularis	138677	https://www.beachexplorer.org/uploads/species/BEQ3E_SC_Grosse_StachelKaeferschnecke.jpg	Polyplacophora
Ctena decussata	140278	http://www.idscaro.net/sci/04_med/pictures/fam5/ctena_decussata1.jpg	Bivalvia
Gregariella semigranata	140453	http://www.idscaro.net/sci/04_med/pictures/fam5/gregariella_semigranata1.jpg	Bivalvia
Rissoella opalina	141149	https://upload.wikimedia.org/wikipedia/commons/f/f0/Rissoella_opalina.png	Gastropoda
Limaria tuberculata	140236	https://www.meerwasser-lexikon.de/imgHaupt/64625_5f9d816c4fde3.jpg	Bivalvia
Turritellinella tricarinata	1381415	https://www.mer-littoral.org/14/photos/turritellinella-tricarinata-0m.jpg	Gastropoda
Scopalina lophyropoda	132557	https://inpn.mnhn.fr/photos/uploads/webtofs/inpn/6/139336.jpg	Demospongiae
Emarginula rosea	139965	https://images.marinespecies.org/thumbs/25782_emarginula-rosea-bell-1824shell-from-off-alboran-island-80-200-m-actual-size-3-6-mm.jpg?w=700	Gastropoda
Aporrhais pespelecani	138760	https://images.marinespecies.org/thumbs/50845_aporrhais-pespelecani.jpg?w=700	Gastropoda
Eledone cirrhosa	140600	https://www.meerwasser-lexikon.de/imgHaupt/30083_yhWaw5ukvL.jpg	Cephalopoda
Sepia officinalis	141444	https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Sepia_officinalis_%28aquarium%29.jpg/1024px-Sepia_officinalis_%28aquarium%29.jpg	Cephalopoda
Mytilus galloprovincialis	140481	https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Mytilus_galloprovincialis_shell.jpg/800px-Mytilus_galloprovincialis_shell.jpg	Bivalvia
Caecum subannulatum	138955	https://images.marinespecies.org/thumbs/70293_caecum-subannulatum-de-folin-1870specimen-from-calahonda--24-m-malaga-spain-actual-size-1-9-mm.jpg?w=700	Gastropoda
Arca tetragona	138789	https://images.marinespecies.org/thumbs/31849_arca-tetragona-poli-1795specimen-from-fuengirola-s-spain-actual-size-17-3-mm.jpg?w=700	Bivalvia
Anomia ephippium	138748	https://upload.wikimedia.org/wikipedia/commons/c/cc/Anomia_ephippium.jpg	Bivalvia
Ruditapes philippinarum	231750	https://www.meerwasser-lexikon.de/imgHaupt/31101_q9pN2z8tww.jpg	Bivalvia
Ocinebrina aciculata	140407	http://www.animalbase.uni-goettingen.de/animalbaseimage/Ocinebrina-aciculata_01.jpg	Gastropoda
Ischnochiton rissoi	848021	https://www.meerwasser-lexikon.de/imgHaupt/28291_cGLCR8EZt1.jpg	Polyplacophora
Mangelia attenuata	139265	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Mangelia_attenuata_001.jpg/1024px-Mangelia_attenuata_001.jpg	Gastropoda
Raphitoma purpurea	139379	https://upload.wikimedia.org/wikipedia/commons/1/15/Raphitoma_purpurea_002.jpg	Gastropoda
Tritia reticulata	876821	https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Nassarius_reticulatus_MHNT.jpg/1280px-Nassarius_reticulatus_MHNT.jpg	Gastropoda
Japetella diaphana	138849	https://www.oceanblogs.org/oceannavigator/wp-content/uploads/sites/2/2015/02/JapetellaD713logo-1024x636.jpg	Cephalopoda
Cerithiopsis scalaris	139083	https://images.marinespecies.org/thumbs/51702_cerithiopsis-scalaris.jpg?w=700	Gastropoda
Calliostoma conulus	141752	https://images.marinespecies.org/thumbs/70191_calliostoma-conulus-linnaeus-1758-specimen-from-sagres-portugal-actual-size-24-mm.jpg?w=700	Gastropoda
Venus verrucosa	141936	https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Venus_verrucosa.jpg/1024px-Venus_verrucosa.jpg	Bivalvia
Acanthocardia tuberculata	381057	https://upload.wikimedia.org/wikipedia/commons/c/c1/Acanthocardia_tuberculata.jpg	Bivalvia
Spongia agaricina	132380	https://www.sealifebase.ca/images/species/Spaga_u0.jpg	Demospongiae
Cerithiopsis minima	139079	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Cerithiopsis_minima_01.jpg/800px-Cerithiopsis_minima_01.jpg	Gastropoda
Petrosia ficiformis	132920	http://www.unterwasser-welt-mittelmeer.de/assets/images/Petrosia_ficiformis__504_XL_k.jpg	Demospongiae
Bolinus brandaris	140389	https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Bolinus_brandaris_01.jpg/1024px-Bolinus_brandaris_01.jpg	Gastropoda
